node,attribute,degree,edge,edge_degree,target,attribute,degree
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_adenoid_cystic_carcinoma,Cancer,63
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_adenoid_cystic_carcinoma,Cancer,63
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_adenoid_cystic_carcinoma,Cancer,63
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_basal_(triple-negative)_carcinoma,Cancer,95
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_basal_(triple-negative)_carcinoma,Cancer,95
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_basal_(triple-negative)_carcinoma,Cancer,95
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_clear_cell_renal_cell_carcinoma,Cancer,199
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_clear_cell_renal_cell_carcinoma,Cancer,199
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_clear_cell_renal_cell_carcinoma,Cancer,199
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_ductal_carcinoma,Cancer,240
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_ductal_carcinoma,Cancer,240
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_ductal_carcinoma,Cancer,240
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_endometrioid_carcinoma,Cancer,536
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_endometrioid_carcinoma,Cancer,536
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_endometrioid_carcinoma,Cancer,536
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_hepatocellular_carcinoma,Cancer,235
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_hepatocellular_carcinoma,Cancer,235
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_hepatocellular_carcinoma,Cancer,235
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_intestinal_adenocarcinoma,Cancer,130
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_intestinal_adenocarcinoma,Cancer,130
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_intestinal_adenocarcinoma,Cancer,130
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_large_cell_carcinoma,Cancer,57
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_large_cell_carcinoma,Cancer,57
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_large_cell_carcinoma,Cancer,57
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_lobular_carcinoma,Cancer,11
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_luminal_NS_carcinoma,Cancer,50
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_medullary_carcinoma,Cancer,32
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_medullary_carcinoma,Cancer,32
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_medullary_carcinoma,Cancer,32
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_mucinous_carcinoma,Cancer,11
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_non_small_cell_carcinoma,Cancer,488
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_non_small_cell_carcinoma,Cancer,488
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_non_small_cell_carcinoma,Cancer,488
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_papillary_carcinoma,Cancer,69
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_papillary_carcinoma,Cancer,69
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_renal_cell_carcinoma,Cancer,21
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_serous_carcinoma,Cancer,166
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_serous_carcinoma,Cancer,166
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_serous_carcinoma,Cancer,166
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_small_cell_carcinoma,Cancer,88
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_small_cell_carcinoma,Cancer,88
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_small_cell_carcinoma,Cancer,88
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_squamous_cell_carcinoma,Cancer,862
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_squamous_cell_carcinoma,Cancer,862
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_squamous_cell_carcinoma,Cancer,862
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_squamous_cell_carcinoma_BRAF_inhibitor_related,Cancer,11
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_undifferentiated_carcinoma,Cancer,34
Human_BRAF,Gene,54776,associatedWith,6,Cancer-gastrointestinal_stromal_tumour_NS,Cancer,11
Human_BRAF,Gene,54776,associatedWith,6,Cancer-gastrointestinal_stromal_tumour_epithelioid,Cancer,10
Human_BRAF,Gene,54776,associatedWith,6,Cancer-gastrointestinal_stromal_tumour_spindle,Cancer,11
Human_BRAF,Gene,54776,associatedWith,6,Cancer-gastrointestinal_stromal_tumour_spindle_and_epithelioid,Cancer,10
Human_BRAF,Gene,54776,associatedWith,6,Cancer-glioma_NS,Cancer,107
Human_EGFR,Gene,55467,associatedWith,6,Cancer-glioma_NS,Cancer,107
Human_ATM,Gene,30045,associatedWith,6,Cancer-glioma_NS,Cancer,107
Human_BRAF,Gene,54776,associatedWith,6,Cancer-glioma_astrocytoma_Grade_IV,Cancer,233
Human_EGFR,Gene,55467,associatedWith,6,Cancer-glioma_astrocytoma_Grade_IV,Cancer,233
Human_ATM,Gene,30045,associatedWith,6,Cancer-glioma_astrocytoma_Grade_IV,Cancer,233
Human_BRAF,Gene,54776,associatedWith,6,Cancer-haematopoietic_neoplasm_acute_leukaemia_of_ambiguous_lineage,Cancer,22
Human_BRAF,Gene,54776,associatedWith,6,Cancer-haematopoietic_neoplasm_acute_myeloid_leukaemia,Cancer,471
Human_EGFR,Gene,55467,associatedWith,6,Cancer-haematopoietic_neoplasm_acute_myeloid_leukaemia,Cancer,471
Human_ATM,Gene,30045,associatedWith,6,Cancer-haematopoietic_neoplasm_acute_myeloid_leukaemia,Cancer,471
Human_ATM,Gene,30045,associatedWith,6,Cancer-haematopoietic_neoplasm_chronic_myeloid_leukaemia,Cancer,21
Human_BRAF,Gene,54776,associatedWith,6,Cancer-haematopoietic_neoplasm_myelodysplastic_syndrome,Cancer,72
Human_EGFR,Gene,55467,associatedWith,6,Cancer-haematopoietic_neoplasm_myelodysplastic_syndrome,Cancer,72
Human_ATM,Gene,30045,associatedWith,6,Cancer-haematopoietic_neoplasm_myelodysplastic_syndrome,Cancer,72
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_Burkitt_lymphoma,Cancer,23
Human_BRAF,Gene,54776,associatedWith,6,Cancer-lymphoid_neoplasm_NS,Cancer,41
Human_EGFR,Gene,55467,associatedWith,6,Cancer-lymphoid_neoplasm_NS,Cancer,41
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_NS,Cancer,41
Human_BRAF,Gene,54776,associatedWith,6,Cancer-lymphoid_neoplasm_acute_lymphoblastic_B_cell_leukaemia,Cancer,80
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_acute_lymphoblastic_B_cell_leukaemia,Cancer,80
Human_BRAF,Gene,54776,associatedWith,6,Cancer-lymphoid_neoplasm_acute_lymphoblastic_leukaemia,Cancer,79
Human_EGFR,Gene,55467,associatedWith,6,Cancer-lymphoid_neoplasm_acute_lymphoblastic_leukaemia,Cancer,79
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_acute_lymphoblastic_leukaemia,Cancer,79
Human_BRAF,Gene,54776,associatedWith,6,Cancer-lymphoid_neoplasm_chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,Cancer,260
Human_EGFR,Gene,55467,associatedWith,6,Cancer-lymphoid_neoplasm_chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,Cancer,260
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,Cancer,260
Human_BRAF,Gene,54776,associatedWith,6,Cancer-lymphoid_neoplasm_diffuse_large_B_cell_lymphoma,Cancer,50
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_diffuse_large_B_cell_lymphoma,Cancer,50
Human_BRAF,Gene,54776,associatedWith,6,Cancer-lymphoid_neoplasm_plasma_cell_myeloma,Cancer,88
Human_EGFR,Gene,55467,associatedWith,6,Cancer-lymphoid_neoplasm_plasma_cell_myeloma,Cancer,88
Human_ATM,Gene,30045,associatedWith,6,Cancer-lymphoid_neoplasm_plasma_cell_myeloma,Cancer,88
Human_BRAF,Gene,54776,associatedWith,6,Cancer-malignant_melanoma_NS,Cancer,750
Human_EGFR,Gene,55467,associatedWith,6,Cancer-malignant_melanoma_NS,Cancer,750
Human_ATM,Gene,30045,associatedWith,6,Cancer-malignant_melanoma_NS,Cancer,750
Human_BRAF,Gene,54776,associatedWith,6,Cancer-malignant_melanoma_acral_lentiginous,Cancer,30
Human_EGFR,Gene,55467,associatedWith,6,Cancer-malignant_melanoma_acral_lentiginous,Cancer,30
Human_BRAF,Gene,54776,associatedWith,6,Cancer-malignant_melanoma_mixed,Cancer,10
Human_BRAF,Gene,54776,associatedWith,6,Cancer-malignant_melanoma_nodular,Cancer,51
Human_EGFR,Gene,55467,associatedWith,6,Cancer-malignant_melanoma_nodular,Cancer,51
Human_BRAF,Gene,54776,associatedWith,6,Cancer-malignant_melanoma_superficial_spreading,Cancer,46
Human_BRAF,Gene,54776,associatedWith,6,Cancer-neuroblastoma_NS,Cancer,67
Human_EGFR,Gene,55467,associatedWith,6,Cancer-neuroblastoma_NS,Cancer,67
Human_ATM,Gene,30045,associatedWith,6,Cancer-neuroblastoma_NS,Cancer,67
Human_BRAF,Gene,54776,associatedWith,6,Cancer-other_neoplasm,Cancer,88
Human_EGFR,Gene,55467,associatedWith,6,Cancer-other_neoplasm,Cancer,88
Human_ATM,Gene,30045,associatedWith,6,Cancer-other_neoplasm,Cancer,88
Human_BRAF,Gene,54776,associatedWith,6,Cancer-primitive_neuroectodermal_tumour-medulloblastoma_NS,Cancer,58
Human_ATM,Gene,30045,associatedWith,6,Cancer-primitive_neuroectodermal_tumour-medulloblastoma_NS,Cancer,58
Human_BRAF,Gene,54776,associatedWith,5,Cancer-lymphoid_neoplasm_malignant_histiocytosis,associatedWith,9
Cancer-NS_NS,Cancer,78,hasHistologySubType,6,NS,HistologySubType,113
Cancer-carcinoma_ER-PR-positive_carcinoma,Cancer,60,hasHistologySubType,5,ER-PR-positive_carcinoma,HistologySubType,5
Cancer-carcinoma_HER-positive_carcinoma,Cancer,22,hasHistologySubType,2,HER-positive_carcinoma,HistologySubType,2
Cancer-carcinoma_NS,Cancer,694,hasHistologySubType,8,NS,HistologySubType,113
Cancer-carcinoma_acinar_carcinoma,Cancer,43,hasHistologySubType,4,acinar_carcinoma,HistologySubType,4
Cancer-carcinoma_adenocarcinoma,Cancer,2859,hasHistologySubType,8,adenocarcinoma,HistologySubType,8
Cancer-carcinoma_adenoid_cystic_carcinoma,Cancer,63,hasHistologySubType,5,adenoid_cystic_carcinoma,HistologySubType,5
Cancer-carcinoma_basal_(triple-negative)_carcinoma,Cancer,95,hasHistologySubType,8,basal_(triple-negative)_carcinoma,HistologySubType,8
Cancer-carcinoma_clear_cell_renal_cell_carcinoma,Cancer,199,hasHistologySubType,8,clear_cell_renal_cell_carcinoma,HistologySubType,8
Cancer-carcinoma_ductal_carcinoma,Cancer,240,hasHistologySubType,8,ductal_carcinoma,HistologySubType,8
Cancer-carcinoma_endometrioid_carcinoma,Cancer,536,hasHistologySubType,8,endometrioid_carcinoma,HistologySubType,8
Cancer-carcinoma_hepatocellular_carcinoma,Cancer,235,hasHistologySubType,8,hepatocellular_carcinoma,HistologySubType,8
Cancer-carcinoma_intestinal_adenocarcinoma,Cancer,130,hasHistologySubType,8,intestinal_adenocarcinoma,HistologySubType,8
Cancer-carcinoma_large_cell_carcinoma,Cancer,57,hasHistologySubType,4,large_cell_carcinoma,HistologySubType,4
Cancer-carcinoma_luminal_NS_carcinoma,Cancer,50,hasHistologySubType,4,luminal_NS_carcinoma,HistologySubType,4
Cancer-carcinoma_medullary_carcinoma,Cancer,32,hasHistologySubType,3,medullary_carcinoma,HistologySubType,3
Cancer-carcinoma_non_small_cell_carcinoma,Cancer,488,hasHistologySubType,6,non_small_cell_carcinoma,HistologySubType,6
Cancer-carcinoma_papillary_carcinoma,Cancer,69,hasHistologySubType,3,papillary_carcinoma,HistologySubType,3
Cancer-carcinoma_renal_cell_carcinoma,Cancer,21,hasHistologySubType,2,renal_cell_carcinoma,HistologySubType,2
Cancer-carcinoma_serous_carcinoma,Cancer,166,hasHistologySubType,8,serous_carcinoma,HistologySubType,8
Cancer-carcinoma_small_cell_carcinoma,Cancer,88,hasHistologySubType,6,small_cell_carcinoma,HistologySubType,6
Cancer-carcinoma_squamous_cell_carcinoma,Cancer,862,hasHistologySubType,8,squamous_cell_carcinoma,HistologySubType,9
Cancer-carcinoma_undifferentiated_carcinoma,Cancer,34,hasHistologySubType,3,undifferentiated_carcinoma,HistologySubType,4
Cancer-gastrointestinal_stromal_tumour_NS,Cancer,11,hasHistologySubType,1,NS,HistologySubType,113
Cancer-gastrointestinal_stromal_tumour_epithelioid,Cancer,10,hasHistologySubType,1,epithelioid,HistologySubType,2
Cancer-gastrointestinal_stromal_tumour_spindle,Cancer,11,hasHistologySubType,1,spindle,HistologySubType,3
Cancer-glioma_NS,Cancer,107,hasHistologySubType,8,NS,HistologySubType,113
Cancer-glioma_astrocytoma_Grade_IV,Cancer,233,hasHistologySubType,8,astrocytoma_Grade_IV,HistologySubType,8
Cancer-haematopoietic_neoplasm_acute_leukaemia_of_ambiguous_lineage,Cancer,22,hasHistologySubType,2,acute_leukaemia_of_ambiguous_lineage,HistologySubType,2
Cancer-haematopoietic_neoplasm_acute_myeloid_leukaemia,Cancer,471,hasHistologySubType,7,acute_myeloid_leukaemia,HistologySubType,7
Cancer-haematopoietic_neoplasm_chronic_myeloid_leukaemia,Cancer,21,hasHistologySubType,2,chronic_myeloid_leukaemia,HistologySubType,2
Cancer-haematopoietic_neoplasm_myelodysplastic_syndrome,Cancer,72,hasHistologySubType,4,myelodysplastic_syndrome,HistologySubType,4
Cancer-lymphoid_neoplasm_Burkitt_lymphoma,Cancer,23,hasHistologySubType,2,Burkitt_lymphoma,HistologySubType,2
Cancer-lymphoid_neoplasm_NS,Cancer,41,hasHistologySubType,4,NS,HistologySubType,113
Cancer-lymphoid_neoplasm_acute_lymphoblastic_B_cell_leukaemia,Cancer,80,hasHistologySubType,5,acute_lymphoblastic_B_cell_leukaemia,HistologySubType,5
Cancer-lymphoid_neoplasm_acute_lymphoblastic_leukaemia,Cancer,79,hasHistologySubType,4,acute_lymphoblastic_leukaemia,HistologySubType,4
Cancer-lymphoid_neoplasm_chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,Cancer,260,hasHistologySubType,6,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,HistologySubType,6
Cancer-lymphoid_neoplasm_diffuse_large_B_cell_lymphoma,Cancer,50,hasHistologySubType,3,diffuse_large_B_cell_lymphoma,HistologySubType,3
Cancer-lymphoid_neoplasm_plasma_cell_myeloma,Cancer,88,hasHistologySubType,6,plasma_cell_myeloma,HistologySubType,6
Cancer-malignant_melanoma_NS,Cancer,750,hasHistologySubType,8,NS,HistologySubType,113
Cancer-malignant_melanoma_acral_lentiginous,Cancer,30,hasHistologySubType,2,acral_lentiginous,HistologySubType,2
Cancer-malignant_melanoma_mixed,Cancer,10,hasHistologySubType,1,mixed,HistologySubType,3
Cancer-malignant_melanoma_nodular,Cancer,51,hasHistologySubType,3,nodular,HistologySubType,3
Cancer-malignant_melanoma_superficial_spreading,Cancer,46,hasHistologySubType,2,superficial_spreading,HistologySubType,2
Cancer-neuroblastoma_NS,Cancer,67,hasHistologySubType,6,NS,HistologySubType,113
Cancer-other_neoplasm,Cancer,88,hasHistologySubType,7,neoplasm,HistologySubType,7
Cancer-primitive_neuroectodermal_tumour-medulloblastoma_NS,Cancer,58,hasHistologySubType,5,NS,HistologySubType,113
Missense,Missense,4228,hasMutantType,268,R,MutantType,1117
Missense,Missense,4228,hasMutantType,245,N,MutantType,467
Missense,Missense,4228,hasMutantType,348,S,MutantType,927
Missense,Missense,4228,hasMutantType,257,K,MutantType,615
CodingSilent,CodingSilent,1101,hasMutantType,73,T,MutantType,613
Missense,Missense,4228,hasMutantType,212,H,MutantType,388
Missense,Missense,4228,hasMutantType,221,T,MutantType,613
Missense,Missense,4228,hasMutantType,245,F,MutantType,566
Missense,Missense,4228,hasMutantType,156,E,MutantType,660
DeletionInframe,DeletionInframe,109,hasMutantType,109,None,MutantType,2988
Missense,Missense,4228,hasMutantType,149,M,MutantType,279
InsertionInframe,InsertionInframe,435,hasMutantType,435,None,MutantType,2988
Missense,Missense,4228,hasMutantType,303,L,MutantType,1165
Missense,Missense,4228,hasMutationDescription,4228,Substitution - Missense,MutationDescription,4228
CodingSilent,CodingSilent,1101,hasMutationDescription,1101,Substitution - coding silent,MutationDescription,1101
DeletionInframe,DeletionInframe,109,hasMutationDescription,109,Deletion - In frame,MutationDescription,109
InsertionInframe,InsertionInframe,435,hasMutationDescription,435,Insertion - In frame,MutationDescription,435
Missense,Missense,4228,hasMutationZygosity,3214,Missense,Missense,4228
CodingSilent,CodingSilent,1101,hasMutationZygosity,839,CodingSilent,CodingSilent,1101
DeletionInframe,DeletionInframe,109,hasMutationZygosity,90,DeletionInframe,DeletionInframe,109
InsertionInframe,InsertionInframe,435,hasMutationZygosity,343,InsertionInframe,InsertionInframe,435
Missense,Missense,4228,hasMutationZygosity,887,het,MutationZygosity,1420
Missense,Missense,4228,hasPKAEndLocation,5,94,PKAEndLocation,12
Missense,Missense,4228,hasPKAEndLocation,2,90,PKAEndLocation,8
Missense,Missense,4228,hasPKAEndLocation,3261,0,PKAEndLocation,11996
Missense,Missense,4228,hasPKAEndLocation,5,272,PKAEndLocation,10
CodingSilent,CodingSilent,1101,hasPKAEndLocation,4,190,PKAEndLocation,32
Missense,Missense,4228,hasPKAEndLocation,12,172,PKAEndLocation,26
DeletionInframe,DeletionInframe,109,hasPKAEndLocation,109,0,PKAEndLocation,11996
Missense,Missense,4228,hasPKAEndLocation,5,129,PKAEndLocation,10
InsertionInframe,InsertionInframe,435,hasPKAEndLocation,435,0,PKAEndLocation,11996
Missense,Missense,4228,hasPKAResidue,101,R,PKAResidue,1117
Missense,Missense,4228,hasPKAResidue,78,L,PKAResidue,1165
Missense,Missense,4228,hasPKAResidue,3261,Z,PKAResidue,5998
Missense,Missense,4228,hasPKAResidue,47,N,PKAResidue,467
CodingSilent,CodingSilent,1101,hasPKAResidue,16,K,PKAResidue,615
DeletionInframe,DeletionInframe,109,hasPKAResidue,109,Z,PKAResidue,5998
Missense,Missense,4228,hasPKAResidue,23,M,PKAResidue,279
InsertionInframe,InsertionInframe,435,hasPKAResidue,435,Z,PKAResidue,5998
Missense,Missense,4228,hasPKAStartLocation,5,94,PKAStartLocation,12
Missense,Missense,4228,hasPKAStartLocation,2,90,PKAStartLocation,8
Missense,Missense,4228,hasPKAStartLocation,3261,0,PKAStartLocation,11996
Missense,Missense,4228,hasPKAStartLocation,5,272,PKAStartLocation,10
CodingSilent,CodingSilent,1101,hasPKAStartLocation,4,190,PKAStartLocation,32
Missense,Missense,4228,hasPKAStartLocation,12,172,PKAStartLocation,26
DeletionInframe,DeletionInframe,109,hasPKAStartLocation,109,0,PKAStartLocation,11996
Missense,Missense,4228,hasPKAStartLocation,5,129,PKAStartLocation,10
InsertionInframe,InsertionInframe,435,hasPKAStartLocation,435,0,PKAStartLocation,11996
Cancer-lymphoid_neoplasm_malignant_histiocytosis,null,9,hasPrimaryHistology,1,lymphoid_neoplasm,PrimaryHistology,62
Cancer-NS_NS,Cancer,78,hasPrimaryHistology,6,NS,PrimaryHistology,113
Cancer-carcinoma_ER-PR-positive_carcinoma,Cancer,60,hasPrimaryHistology,5,carcinoma,PrimaryHistology,209
Cancer-carcinoma_HER-positive_carcinoma,Cancer,22,hasPrimaryHistology,2,carcinoma,PrimaryHistology,209
Cancer-carcinoma_NS,Cancer,694,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_acinar_carcinoma,Cancer,43,hasPrimaryHistology,4,carcinoma,PrimaryHistology,209
Cancer-carcinoma_acinic_cell_carcinoma,Cancer,10,hasPrimaryHistology,1,carcinoma,PrimaryHistology,209
Cancer-carcinoma_adenocarcinoma,Cancer,2859,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_adenoid_cystic_carcinoma,Cancer,63,hasPrimaryHistology,5,carcinoma,PrimaryHistology,209
Cancer-carcinoma_basal_(triple-negative)_carcinoma,Cancer,95,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_clear_cell_renal_cell_carcinoma,Cancer,199,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_ductal_carcinoma,Cancer,240,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_endometrioid_carcinoma,Cancer,536,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_hepatocellular_carcinoma,Cancer,235,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_intestinal_adenocarcinoma,Cancer,130,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_large_cell_carcinoma,Cancer,57,hasPrimaryHistology,4,carcinoma,PrimaryHistology,209
Cancer-carcinoma_lobular_carcinoma,Cancer,11,hasPrimaryHistology,1,carcinoma,PrimaryHistology,209
Cancer-carcinoma_luminal_NS_carcinoma,Cancer,50,hasPrimaryHistology,4,carcinoma,PrimaryHistology,209
Cancer-carcinoma_medullary_carcinoma,Cancer,32,hasPrimaryHistology,3,carcinoma,PrimaryHistology,209
Cancer-carcinoma_mucinous_carcinoma,Cancer,11,hasPrimaryHistology,1,carcinoma,PrimaryHistology,209
Cancer-carcinoma_non_small_cell_carcinoma,Cancer,488,hasPrimaryHistology,6,carcinoma,PrimaryHistology,209
Cancer-carcinoma_papillary_carcinoma,Cancer,69,hasPrimaryHistology,3,carcinoma,PrimaryHistology,209
Cancer-carcinoma_renal_cell_carcinoma,Cancer,21,hasPrimaryHistology,2,carcinoma,PrimaryHistology,209
Cancer-carcinoma_serous_carcinoma,Cancer,166,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_small_cell_carcinoma,Cancer,88,hasPrimaryHistology,6,carcinoma,PrimaryHistology,209
Cancer-carcinoma_squamous_cell_carcinoma,Cancer,862,hasPrimaryHistology,8,carcinoma,PrimaryHistology,209
Cancer-carcinoma_squamous_cell_carcinoma_BRAF_inhibitor_related,Cancer,11,hasPrimaryHistology,1,carcinoma,PrimaryHistology,209
Cancer-carcinoma_undifferentiated_carcinoma,Cancer,34,hasPrimaryHistology,3,carcinoma,PrimaryHistology,209
Cancer-gastrointestinal_stromal_tumour_NS,Cancer,11,hasPrimaryHistology,1,gastrointestinal_stromal_tumour,PrimaryHistology,4
Cancer-gastrointestinal_stromal_tumour_epithelioid,Cancer,10,hasPrimaryHistology,1,gastrointestinal_stromal_tumour,PrimaryHistology,4
Cancer-gastrointestinal_stromal_tumour_spindle,Cancer,11,hasPrimaryHistology,1,gastrointestinal_stromal_tumour,PrimaryHistology,4
Cancer-gastrointestinal_stromal_tumour_spindle_and_epithelioid,Cancer,10,hasPrimaryHistology,1,gastrointestinal_stromal_tumour,PrimaryHistology,4
Cancer-glioma_NS,Cancer,107,hasPrimaryHistology,8,glioma,PrimaryHistology,38
Cancer-glioma_astrocytoma_Grade_IV,Cancer,233,hasPrimaryHistology,8,glioma,PrimaryHistology,38
Cancer-haematopoietic_neoplasm_acute_leukaemia_of_ambiguous_lineage,Cancer,22,hasPrimaryHistology,2,haematopoietic_neoplasm,PrimaryHistology,40
Cancer-haematopoietic_neoplasm_acute_myeloid_leukaemia,Cancer,471,hasPrimaryHistology,7,haematopoietic_neoplasm,PrimaryHistology,40
Cancer-haematopoietic_neoplasm_chronic_myeloid_leukaemia,Cancer,21,hasPrimaryHistology,2,haematopoietic_neoplasm,PrimaryHistology,40
Cancer-haematopoietic_neoplasm_myelodysplastic_syndrome,Cancer,72,hasPrimaryHistology,4,haematopoietic_neoplasm,PrimaryHistology,40
Cancer-lymphoid_neoplasm_Burkitt_lymphoma,Cancer,23,hasPrimaryHistology,2,lymphoid_neoplasm,PrimaryHistology,62
Cancer-lymphoid_neoplasm_NS,Cancer,41,hasPrimaryHistology,4,lymphoid_neoplasm,PrimaryHistology,62
Cancer-lymphoid_neoplasm_acute_lymphoblastic_B_cell_leukaemia,Cancer,80,hasPrimaryHistology,5,lymphoid_neoplasm,PrimaryHistology,62
Cancer-lymphoid_neoplasm_acute_lymphoblastic_leukaemia,Cancer,79,hasPrimaryHistology,4,lymphoid_neoplasm,PrimaryHistology,62
